,liste,nom_liste,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
389,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,93,3567740,2810838,2750937,29554,Présidentielles12017,1.07,78.78,1.68,Gris,#E0E0E0
390,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,94,233656,158991,154376,8711,Présidentielles12017,5.64,68.04,1.98,Gris,#E0E0E0
391,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,ROM,432238,186961,178413,1293,Présidentielles12017,0.72,43.25,1.98,Gris,#E0E0E0
392,Jean ZUCCARELLI,Parti radical de gauche,LRDG,2015,Régionales,1,94,229866,137143,133989,4227,Régionales12015,3.15,59.66,1.37,Rose clair,#FFAECD
393,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,01,316345,126651,112242,27081,Présidentielles12017,24.13,40.04,4.55,Rouge,#EE4A40
394,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,02,310812,123957,109264,29903,Présidentielles12017,27.37,39.88,4.73,Rouge,#EE4A40
395,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,03,92935,31925,26839,6633,Présidentielles12017,24.71,34.35,5.47,Rouge,#EE4A40
396,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,04,639481,375252,350480,85987,Présidentielles12017,24.53,58.68,3.87,Rouge,#EE4A40
397,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,06,83047,36187,33130,2789,Présidentielles12017,8.42,43.57,3.68,Rouge,#EE4A40
398,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,11,7199231,5751509,5631456,1224978,Présidentielles12017,21.75,79.89,1.67,Rouge,#EE4A40
399,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,24,1827657,1466892,1427614,252308,Présidentielles12017,17.67,80.26,2.15,Rouge,#EE4A40
400,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,27,2001725,1588715,1544962,276958,Présidentielles12017,17.93,79.37,2.19,Rouge,#EE4A40
401,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,28,2398182,1939818,1891428,362426,Présidentielles12017,19.16,80.89,2.02,Rouge,#EE4A40
402,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,32,4241887,3316694,3232524,633313,Présidentielles12017,19.59,78.19,1.98,Rouge,#EE4A40
403,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,44,3873402,3047571,2971625,484810,Présidentielles12017,16.31,78.68,1.96,Rouge,#EE4A40
404,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,52,2705170,2252699,2191921,403455,Présidentielles12017,18.41,83.27,2.25,Rouge,#EE4A40
405,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,53,2453683,2048612,2000330,385736,Présidentielles12017,19.28,83.49,1.97,Rouge,#EE4A40
406,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,75,4329942,3483794,3389374,703439,Présidentielles12017,20.75,80.46,2.18,Rouge,#EE4A40
407,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,76,4194937,3400379,3316240,734193,Présidentielles12017,22.14,81.06,2.01,Rouge,#EE4A40
408,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,84,5416712,4297161,4187716,805588,Présidentielles12017,19.24,79.33,2.02,Rouge,#EE4A40
409,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,93,3567740,2810838,2750937,515415,Présidentielles12017,18.74,78.78,1.68,Rouge,#EE4A40
410,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,94,233656,158991,154376,21314,Présidentielles12017,13.81,68.04,1.98,Rouge,#EE4A40
411,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,ROM,432238,186961,178413,15933,Présidentielles12017,8.93,43.25,1.98,Rouge,#EE4A40
412,José ROSSI,Les Républicains,LLR,2015,Régionales,1,94,229866,137143,133989,17642,Régionales12015,13.17,59.66,1.37,Bleu,#045BFF
413,Laurent BERNIER,Les Républicains,LLR,2015,Régionales,1,01,313433,147975,140454,6312,Régionales12015,4.49,47.21,2.4,Bleu,#045BFF
414,Rémy Louis BUDOC,Les Républicains,LLR,2015,Régionales,1,03,88183,37585,36130,1114,Régionales12015,3.08,42.62,1.65,Bleu,#045BFF
415,Yan MONPLAISIR,Les Républicains,LLR,2015,Régionales,1,02,310723,127716,120629,17272,Régionales12015,14.32,41.1,2.28,Bleu,#045BFF
416,Marine LE PEN,Front National,FN,2017,Présidentielles,1,01,316345,126651,112242,15159,Présidentielles12017,13.51,40.04,4.55,Bleu marine,#0C295A
417,Marine LE PEN,Front National,FN,2017,Présidentielles,1,02,310812,123957,109264,11949,Présidentielles12017,10.94,39.88,4.73,Bleu marine,#0C295A
418,Marine LE PEN,Front National,FN,2017,Présidentielles,1,03,92935,31925,26839,6521,Présidentielles12017,24.3,34.35,5.47,Bleu marine,#0C295A
419,Marine LE PEN,Front National,FN,2017,Présidentielles,1,04,639481,375252,350480,82219,Présidentielles12017,23.46,58.68,3.87,Bleu marine,#0C295A
420,Marine LE PEN,Front National,FN,2017,Présidentielles,1,06,83047,36187,33130,9008,Présidentielles12017,27.19,43.57,3.68,Bleu marine,#0C295A
421,Marine LE PEN,Front National,FN,2017,Présidentielles,1,11,7199231,5751509,5631456,708026,Présidentielles12017,12.57,79.89,1.67,Bleu marine,#0C295A
422,Marine LE PEN,Front National,FN,2017,Présidentielles,1,24,1827657,1466892,1427614,329470,Présidentielles12017,23.08,80.26,2.15,Bleu marine,#0C295A
423,Marine LE PEN,Front National,FN,2017,Présidentielles,1,27,2001725,1588715,1544962,387662,Présidentielles12017,25.09,79.37,2.19,Bleu marine,#0C295A
424,Marine LE PEN,Front National,FN,2017,Présidentielles,1,28,2398182,1939818,1891428,452586,Présidentielles12017,23.93,80.89,2.02,Bleu marine,#0C295A
425,Marine LE PEN,Front National,FN,2017,Présidentielles,1,32,4241887,3316694,3232524,1003216,Présidentielles12017,31.04,78.19,1.98,Bleu marine,#0C295A
426,Marine LE PEN,Front National,FN,2017,Présidentielles,1,44,3873402,3047571,2971625,825604,Présidentielles12017,27.78,78.68,1.96,Bleu marine,#0C295A
427,Marine LE PEN,Front National,FN,2017,Présidentielles,1,52,2705170,2252699,2191921,364267,Présidentielles12017,16.62,83.27,2.25,Bleu marine,#0C295A
428,Marine LE PEN,Front National,FN,2017,Présidentielles,1,53,2453683,2048612,2000330,306644,Présidentielles12017,15.33,83.49,1.97,Bleu marine,#0C295A
429,Marine LE PEN,Front National,FN,2017,Présidentielles,1,75,4329942,3483794,3389374,640148,Présidentielles12017,18.89,80.46,2.18,Bleu marine,#0C295A
430,Marine LE PEN,Front National,FN,2017,Présidentielles,1,76,4194937,3400379,3316240,762087,Présidentielles12017,22.98,81.06,2.01,Bleu marine,#0C295A
431,Marine LE PEN,Front National,FN,2017,Présidentielles,1,84,5416712,4297161,4187716,867591,Présidentielles12017,20.72,79.33,2.02,Bleu marine,#0C295A
432,Marine LE PEN,Front National,FN,2017,Présidentielles,1,93,3567740,2810838,2750937,774781,Présidentielles12017,28.16,78.78,1.68,Bleu marine,#0C295A
433,Marine LE PEN,Front National,FN,2017,Présidentielles,1,94,233656,158991,154376,43041,Présidentielles12017,27.88,68.04,1.98,Bleu marine,#0C295A
434,Marine LE PEN,Front National,FN,2017,Présidentielles,1,ROM,432238,186961,178413,52586,Présidentielles12017,29.47,43.25,1.98,Bleu marine,#0C295A
435,Marine LE PEN,Front National,FN,2017,Présidentielles,2,01,316062,155610,133945,33310,Présidentielles22017,24.87,49.23,6.85,Bleu marine,#0C295A
436,Marine LE PEN,Front National,FN,2017,Présidentielles,2,02,310673,156134,134502,30195,Présidentielles22017,22.45,50.26,6.96,Bleu marine,#0C295A
437,Marine LE PEN,Front National,FN,2017,Présidentielles,2,03,92601,38685,33546,11777,Présidentielles22017,35.11,41.78,5.55,Bleu marine,#0C295A
438,Marine LE PEN,Front National,FN,2017,Présidentielles,2,04,639391,402250,351998,139917,Présidentielles22017,39.75,62.91,7.86,Bleu marine,#0C295A
439,Marine LE PEN,Front National,FN,2017,Présidentielles,2,06,82482,37723,33514,14374,Présidentielles22017,42.89,45.73,5.1,Bleu marine,#0C295A
440,Marine LE PEN,Front National,FN,2017,Présidentielles,2,11,7194953,5374712,4858965,1033686,Présidentielles22017,21.27,74.7,7.17,Bleu marine,#0C295A
441,Marine LE PEN,Front National,FN,2017,Présidentielles,2,24,1827599,1401729,1228723,450750,Présidentielles22017,36.68,76.7,9.47,Bleu marine,#0C295A
442,Marine LE PEN,Front National,FN,2017,Présidentielles,2,27,2001305,1548103,1348644,532935,Présidentielles22017,39.52,77.35,9.97,Bleu marine,#0C295A
443,Marine LE PEN,Front National,FN,2017,Présidentielles,2,28,2397069,1850300,1633534,621472,Présidentielles22017,38.04,77.19,9.04,Bleu marine,#0C295A
444,Marine LE PEN,Front National,FN,2017,Présidentielles,2,32,4241543,3181359,2828570,1331169,Présidentielles22017,47.06,75.0,8.32,Bleu marine,#0C295A
445,Marine LE PEN,Front National,FN,2017,Présidentielles,2,44,3873152,2916968,2590008,1089356,Présidentielles22017,42.06,75.31,8.44,Bleu marine,#0C295A
446,Marine LE PEN,Front National,FN,2017,Présidentielles,2,52,2705034,2124844,1864549,514273,Présidentielles22017,27.58,78.55,9.62,Bleu marine,#0C295A
447,Marine LE PEN,Front National,FN,2017,Présidentielles,2,53,2453233,1954928,1726688,425462,Présidentielles22017,24.64,79.69,9.3,Bleu marine,#0C295A
448,Marine LE PEN,Front National,FN,2017,Présidentielles,2,75,4329082,3370241,2929305,918237,Présidentielles22017,31.35,77.85,10.19,Bleu marine,#0C295A
449,Marine LE PEN,Front National,FN,2017,Présidentielles,2,76,4193817,3216862,2793669,1033853,Présidentielles22017,37.01,76.7,10.09,Bleu marine,#0C295A
450,Marine LE PEN,Front National,FN,2017,Présidentielles,2,84,5414461,4141707,3652917,1200726,Présidentielles22017,32.87,76.49,9.03,Bleu marine,#0C295A
451,Marine LE PEN,Front National,FN,2017,Présidentielles,2,93,3565160,2652228,2355752,1049116,Présidentielles22017,44.53,74.39,8.32,Bleu marine,#0C295A
452,Marine LE PEN,Front National,FN,2017,Présidentielles,2,94,233633,149482,129801,62982,Présidentielles22017,48.52,63.98,8.42,Bleu marine,#0C295A
453,Marine LE PEN,Front National,FN,2017,Présidentielles,2,ROM,432213,213508,197214,85470,Présidentielles22017,43.34,49.4,3.77,Bleu marine,#0C295A
454,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,01,316345,126651,112242,1972,Présidentielles12017,1.76,40.04,4.55,Rouge,#EE4A40
455,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,02,310812,123957,109264,2253,Présidentielles12017,2.06,39.88,4.73,Rouge,#EE4A40
456,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,03,92935,31925,26839,462,Présidentielles12017,1.72,34.35,5.47,Rouge,#EE4A40
457,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,04,639481,375252,350480,5190,Présidentielles12017,1.48,58.68,3.87,Rouge,#EE4A40
458,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,06,83047,36187,33130,334,Présidentielles12017,1.01,43.57,3.68,Rouge,#EE4A40
459,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,11,7199231,5751509,5631456,23582,Présidentielles12017,0.42,79.89,1.67,Rouge,#EE4A40
460,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,24,1827657,1466892,1427614,11365,Présidentielles12017,0.8,80.26,2.15,Rouge,#EE4A40
461,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,27,2001725,1588715,1544962,11496,Présidentielles12017,0.74,79.37,2.19,Rouge,#EE4A40
462,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,28,2398182,1939818,1891428,15194,Présidentielles12017,0.8,80.89,2.02,Rouge,#EE4A40
463,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,32,4241887,3316694,3232524,29193,Présidentielles12017,0.9,78.19,1.98,Rouge,#EE4A40
464,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,44,3873402,3047571,2971625,24272,Présidentielles12017,0.82,78.68,1.96,Rouge,#EE4A40
465,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,52,2705170,2252699,2191921,16018,Présidentielles12017,0.73,83.27,2.25,Rouge,#EE4A40
466,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,53,2453683,2048612,2000330,14296,Présidentielles12017,0.71,83.49,1.97,Rouge,#EE4A40
467,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,75,4329942,3483794,3389374,21439,Présidentielles12017,0.63,80.46,2.18,Rouge,#EE4A40
468,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,76,4194937,3400379,3316240,16776,Présidentielles12017,0.51,81.06,2.01,Rouge,#EE4A40
469,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,84,5416712,4297161,4187716,24656,Présidentielles12017,0.59,79.33,2.02,Rouge,#EE4A40
470,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,93,3567740,2810838,2750937,10437,Présidentielles12017,0.38,78.78,1.68,Rouge,#EE4A40
471,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,94,233656,158991,154376,495,Présidentielles12017,0.32,68.04,1.98,Rouge,#EE4A40
472,Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,ROM,432238,186961,178413,1642,Présidentielles12017,0.92,43.25,1.98,Rouge,#EE4A40
473,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,01,316345,126651,112242,2042,Présidentielles12017,1.82,40.04,4.55,Bleu marine,#0C295A
474,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,02,310812,123957,109264,2338,Présidentielles12017,2.14,39.88,4.73,Bleu marine,#0C295A
475,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,03,92935,31925,26839,472,Présidentielles12017,1.76,34.35,5.47,Bleu marine,#0C295A
476,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,04,639481,375252,350480,10123,Présidentielles12017,2.89,58.68,3.87,Bleu marine,#0C295A
477,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,06,83047,36187,33130,1019,Présidentielles12017,3.08,43.57,3.68,Bleu marine,#0C295A
478,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,11,7199231,5751509,5631456,226203,Présidentielles12017,4.02,79.89,1.67,Bleu marine,#0C295A
479,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,24,1827657,1466892,1427614,82060,Présidentielles12017,5.75,80.26,2.15,Bleu marine,#0C295A
480,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,27,2001725,1588715,1544962,87267,Présidentielles12017,5.65,79.37,2.19,Bleu marine,#0C295A
481,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,28,2398182,1939818,1891428,98907,Présidentielles12017,5.23,80.89,2.02,Bleu marine,#0C295A
482,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,32,4241887,3316694,3232524,160721,Présidentielles12017,4.97,78.19,1.98,Bleu marine,#0C295A
483,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,44,3873402,3047571,2971625,182200,Présidentielles12017,6.13,78.68,1.96,Bleu marine,#0C295A
484,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,52,2705170,2252699,2191921,109842,Présidentielles12017,5.01,83.27,2.25,Bleu marine,#0C295A
485,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,53,2453683,2048612,2000330,87928,Présidentielles12017,4.4,83.49,1.97,Bleu marine,#0C295A
486,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,75,4329942,3483794,3389374,155581,Présidentielles12017,4.59,80.46,2.18,Bleu marine,#0C295A
487,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,76,4194937,3400379,3316240,135403,Présidentielles12017,4.08,81.06,2.01,Bleu marine,#0C295A
488,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,84,5416712,4297161,4187716,215883,Présidentielles12017,5.16,79.33,2.02,Bleu marine,#0C295A
489,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,93,3567740,2810838,2750937,119050,Présidentielles12017,4.33,78.78,1.68,Bleu marine,#0C295A
490,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,94,233656,158991,154376,4462,Présidentielles12017,2.89,68.04,1.98,Bleu marine,#0C295A
491,Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,ROM,432238,186961,178413,4662,Présidentielles12017,2.61,43.25,1.98,Bleu marine,#0C295A
492,Philippe PETIT,Union des démocrates et indépendants,LUDI,2015,Régionales,1,02,310723,127716,120629,1818,Régionales12015,1.51,41.1,2.28,Bleu ciel,#39C3FF
493,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,01,316345,126651,112242,2300,Présidentielles12017,2.05,40.04,4.55,Rouge,#EE4A40
494,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,02,310812,123957,109264,3217,Présidentielles12017,2.94,39.88,4.73,Rouge,#EE4A40
495,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,03,92935,31925,26839,1405,Présidentielles12017,5.23,34.35,5.47,Rouge,#EE4A40
496,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,04,639481,375252,350480,4377,Présidentielles12017,1.25,58.68,3.87,Rouge,#EE4A40
497,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,06,83047,36187,33130,621,Présidentielles12017,1.87,43.57,3.68,Rouge,#EE4A40
498,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,11,7199231,5751509,5631456,45705,Présidentielles12017,0.81,79.89,1.67,Rouge,#EE4A40
499,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,24,1827657,1466892,1427614,16282,Présidentielles12017,1.14,80.26,2.15,Rouge,#EE4A40
500,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,27,2001725,1588715,1544962,18533,Présidentielles12017,1.2,79.37,2.19,Rouge,#EE4A40
501,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,28,2398182,1939818,1891428,23804,Présidentielles12017,1.26,80.89,2.02,Rouge,#EE4A40
502,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,32,4241887,3316694,3232524,33652,Présidentielles12017,1.04,78.19,1.98,Rouge,#EE4A40
503,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,44,3873402,3047571,2971625,34468,Présidentielles12017,1.16,78.68,1.96,Rouge,#EE4A40
504,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,52,2705170,2252699,2191921,26340,Présidentielles12017,1.2,83.27,2.25,Rouge,#EE4A40
505,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,53,2453683,2048612,2000330,27092,Présidentielles12017,1.35,83.49,1.97,Rouge,#EE4A40
506,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,75,4329942,3483794,3389374,49646,Présidentielles12017,1.46,80.46,2.18,Rouge,#EE4A40
507,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,76,4194937,3400379,3316240,35216,Présidentielles12017,1.06,81.06,2.01,Rouge,#EE4A40
508,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,84,5416712,4297161,4187716,43509,Présidentielles12017,1.04,79.33,2.02,Rouge,#EE4A40
509,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,93,3567740,2810838,2750937,21314,Présidentielles12017,0.77,78.78,1.68,Rouge,#EE4A40
510,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,94,233656,158991,154376,1374,Présidentielles12017,0.89,68.04,1.98,Rouge,#EE4A40
511,Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,ROM,432238,186961,178413,2236,Présidentielles12017,1.25,43.25,1.98,Rouge,#EE4A40
