liste,nomNuance,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
"Mme Christelle, Renée NANOR",Liste divers,LDIV,2021,Régionales,1,01,316472,97379,91485,1287,Régionales12021,1.41,30.77,1.86,Gris,#E0E0E0
"M. Willy, Kévin WILLIAM",Liste divers,LDIV,2021,Régionales,1,01,316472,97379,91485,1069,Régionales12021,1.17,30.77,1.86,Gris,#E0E0E0
M. Tony DELANNAY,Liste divers,LDIV,2021,Régionales,1,01,316472,97379,91485,532,Régionales12021,0.58,30.77,1.86,Gris,#E0E0E0
M. Guy Christian Marie FERDINAND,Liste divers,LDIV,2021,Régionales,1,02,306530,99471,95614,1018,Régionales12021,1.06,32.45,1.26,Gris,#E0E0E0
M. Jessi AMERICAIN,Liste divers,LDIV,2021,Régionales,1,03,101818,35426,34361,1811,Régionales12021,5.27,34.79,1.05,Gris,#E0E0E0
M. Éric BERLINGEN,Liste divers,LDIV,2021,Régionales,1,11,7240948,2232141,2175649,12992,Régionales12021,0.6,30.83,0.78,Gris,#E0E0E0
M. Lionel BROT,Liste divers,LDIV,2021,Régionales,1,11,7240948,2232141,2175649,11696,Régionales12021,0.54,30.83,0.78,Gris,#E0E0E0
Mme Fabiola CONTI,Liste divers,LDIV,2021,Régionales,1,11,7240948,2232141,2175649,4147,Régionales12021,0.19,30.83,0.78,Gris,#E0E0E0
Mme Stéphanie KERBARH,Liste divers,LDIV,2021,Régionales,1,28,2384818,786762,754925,7971,Régionales12021,1.06,32.99,1.33,Gris,#E0E0E0
M. Audric ALEXANDRE,Liste divers,LDIV,2021,Régionales,1,32,4226927,1388093,1330428,6700,Régionales12021,0.5,32.84,1.36,Gris,#E0E0E0
M. Adil TYANE,Liste divers,LDIV,2021,Régionales,1,44,3829952,1134179,1078379,5262,Régionales12021,0.49,29.61,1.46,Gris,#E0E0E0
Mme Linda RIGAUDEAU,Liste divers,LDIV,2021,Régionales,1,52,2775345,852833,813317,4845,Régionales12021,0.6,30.73,1.42,Gris,#E0E0E0
M. Christophe DAVIET,Liste divers,LDIV,2021,Régionales,1,53,2493602,892415,851237,4198,Régionales12021,0.49,35.79,1.65,Gris,#E0E0E0
M. Kamel ELAHIAR,Liste divers,LDIV,2021,Régionales,1,53,2493602,892415,851237,1030,Régionales12021,0.12,35.79,1.65,Gris,#E0E0E0
M. Anthony LE BOURSICAUD,Liste divers,LDIV,2021,Régionales,1,76,4220483,1571519,1509081,6209,Régionales12021,0.41,37.24,1.48,Gris,#E0E0E0
Mme Shella GILL,Liste divers,LDIV,2021,Régionales,1,84,5403344,1761218,1713647,11198,Régionales12021,0.65,32.59,0.88,Gris,#E0E0E0
M. Farid OMEIR,Liste divers,LDIV,2021,Régionales,1,84,5403344,1761218,1713647,5684,Régionales12021,0.33,32.59,0.88,Gris,#E0E0E0
M. Mikael VINCENZI,Liste divers,LDIV,2021,Régionales,1,93,3580639,1207321,1156069,2838,Régionales12021,0.25,33.72,1.43,Gris,#E0E0E0
M. Jean-Marie NOMERTIN,Liste d'extrême gauche,LEXG,2021,Régionales,1,01,316472,97379,91485,2443,Régionales12021,2.67,30.77,1.86,Rouge,#EE4A40
M. Olivier BERISSON,Liste d'extrême gauche,LEXG,2021,Régionales,1,02,306530,99471,95614,2135,Régionales12021,2.23,32.45,1.26,Rouge,#EE4A40
M. Marcel SELLAYE,Liste d'extrême gauche,LEXG,2021,Régionales,1,02,306530,99471,95614,661,Régionales12021,0.69,32.45,1.26,Rouge,#EE4A40
M. Gabriel JEAN-MARIE,Liste d'extrême gauche,LEXG,2021,Régionales,1,02,306530,99471,95614,565,Régionales12021,0.59,32.45,1.26,Rouge,#EE4A40
M. Jean Yves PAYET,Liste d'extrême gauche,LEXG,2021,Régionales,1,04,668617,243787,230919,2627,Régionales12021,1.14,36.46,1.92,Rouge,#EE4A40
Mme Nathalie ARTHAUD,Liste d'extrême gauche,LEXG,2021,Régionales,1,11,7240948,2232141,2175649,32414,Régionales12021,1.49,30.83,0.78,Rouge,#EE4A40
Mme Farida MEGDOUD,Liste d'extrême gauche,LEXG,2021,Régionales,1,24,1816435,594777,568784,14555,Régionales12021,2.56,32.74,1.43,Rouge,#EE4A40
Mme Claire ROCHER,Liste d'extrême gauche,LEXG,2021,Régionales,1,27,1967032,686005,653942,17829,Régionales12021,2.73,34.88,1.63,Rouge,#EE4A40
M. Pascal LE MANACH,Liste d'extrême gauche,LEXG,2021,Régionales,1,28,2384818,786762,754925,23733,Régionales12021,3.14,32.99,1.33,Rouge,#EE4A40
M. Éric PECQUEUR,Liste d'extrême gauche,LEXG,2021,Régionales,1,32,4226927,1388093,1330428,47325,Régionales12021,3.56,32.84,1.36,Rouge,#EE4A40
Mme Louise FÈVE,Liste d'extrême gauche,LEXG,2021,Régionales,1,44,3829952,1134179,1078379,28091,Régionales12021,2.6,29.61,1.46,Rouge,#EE4A40
M. Eddy LE BELLER,Liste d'extrême gauche,LEXG,2021,Régionales,1,52,2775345,852833,813317,21350,Régionales12021,2.63,30.73,1.42,Rouge,#EE4A40
Mme Valérie HAMON,Liste d'extrême gauche,LEXG,2021,Régionales,1,53,2493602,892415,851237,19208,Régionales12021,2.26,35.79,1.65,Rouge,#EE4A40
Mme Clémence GUETTÉ,Liste d'extrême gauche,LEXG,2021,Régionales,1,75,4352306,1565182,1493620,84630,Régionales12021,5.67,35.96,1.64,Rouge,#EE4A40
M. Guillaume PERCHET,Liste d'extrême gauche,LEXG,2021,Régionales,1,75,4352306,1565182,1493620,26012,Régionales12021,1.74,35.96,1.64,Rouge,#EE4A40
Mme Malena ADRADA,Liste d'extrême gauche,LEXG,2021,Régionales,1,76,4220483,1571519,1509081,26720,Régionales12021,1.77,37.24,1.48,Rouge,#EE4A40
Mme Chantal GOMEZ,Liste d'extrême gauche,LEXG,2021,Régionales,1,84,5403344,1761218,1713647,26742,Régionales12021,1.56,32.59,0.88,Rouge,#EE4A40
Mme Isabelle BONNET,Liste d'extrême gauche,LEXG,2021,Régionales,1,93,3580639,1207321,1156069,31878,Régionales12021,2.76,33.72,1.43,Rouge,#EE4A40
M. Max ORVILLE,Liste du Modem,LMDM,2021,Régionales,1,02,306530,99471,95614,1379,Régionales12021,1.44,32.45,1.26,Orange,#FF8948
M. Philippe PETIT,Liste de l'Union des démocrates et indépendants,LUDI,2021,Régionales,1,02,306530,99471,95614,612,Régionales12021,0.64,32.45,1.26,Bleu ciel,#39C3FF
M. Jean Paul FEREIRA,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,03,101818,35426,34361,8020,Régionales12021,23.34,34.79,1.05,Vert,#44EE8B
M. Charles FOURNIER,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,24,1816435,594777,568784,61690,Régionales12021,10.85,32.74,1.43,Vert,#44EE8B
Mme Mélanie BOULANGER,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,28,2384818,786762,754925,138647,Régionales12021,18.37,32.99,1.33,Vert,#44EE8B
Mme Karima DELLI,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,32,4226927,1388093,1330428,252404,Régionales12021,18.97,32.84,1.36,Vert,#44EE8B
Mme Eliane ROMANI,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,44,3829952,1134179,1078379,157461,Régionales12021,14.6,29.61,1.46,Vert,#44EE8B
M. Matthieu ORPHELIN,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,52,2775345,852833,813317,152081,Régionales12021,18.7,30.73,1.42,Vert,#44EE8B
Mme Claire DESMARES-POIRRIER,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,53,2493602,892415,851237,126313,Régionales12021,14.84,35.79,1.65,Vert,#44EE8B
Mme Carole DELGA,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,76,4220483,1571519,1509081,597157,Régionales12021,39.57,37.24,1.48,Vert,#44EE8B
M. Jean-Laurent FELIZIA,Liste d'union à gauche avec des écologistes,LUGE,2021,Régionales,1,93,3580639,1207321,1156069,195233,Régionales12021,16.89,33.72,1.43,Vert,#44EE8B
M. Didier ROBERT,Liste d'union au centre et à droite,LUCD,2021,Régionales,1,04,668617,243787,230919,71798,Régionales12021,31.09,36.46,1.92,Jaune,#FFCE3E
M. Nicolas FORISSIER,Liste d'union au centre et à droite,LUCD,2021,Régionales,1,24,1816435,594777,568784,107031,Régionales12021,18.82,32.74,1.43,Jaune,#FFCE3E
M. Hervé MORIN,Liste d'union au centre et à droite,LUCD,2021,Régionales,1,28,2384818,786762,754925,278263,Régionales12021,36.86,32.99,1.33,Jaune,#FFCE3E
M. Jean ROTTNER,Liste d'union au centre et à droite,LUCD,2021,Régionales,1,44,3829952,1134179,1078379,335954,Régionales12021,31.15,29.61,1.46,Jaune,#FFCE3E
Mme Christelle MORANÇAIS,Liste d'union au centre et à droite,LUCD,2021,Régionales,1,52,2775345,852833,813317,278948,Régionales12021,34.3,30.73,1.42,Jaune,#FFCE3E
Mme Huguette BELLO,Liste d'union à gauche,LUG,2021,Régionales,1,04,668617,243787,230919,47899,Régionales12021,20.74,36.46,1.92,Rose clair,#FFAECD
Mme Huguette BELLO,Liste d'union à gauche,LUG,2021,Régionales,1,04,668617,243787,230919,47899,Régionales12021,20.74,36.46,1.92,Rose,#FF5E9A
Mme Ericka BAREIGTS,Liste d'union à gauche,LUG,2021,Régionales,1,04,668617,243787,230919,42682,Régionales12021,18.48,36.46,1.92,Rose clair,#FFAECD
Mme Ericka BAREIGTS,Liste d'union à gauche,LUG,2021,Régionales,1,04,668617,243787,230919,42682,Régionales12021,18.48,36.46,1.92,Rose,#FF5E9A
Mme Audrey PULVAR,Liste d'union à gauche,LUG,2021,Régionales,1,11,7240948,2232141,2175649,240875,Régionales12021,11.07,30.83,0.78,Rose clair,#FFAECD
Mme Audrey PULVAR,Liste d'union à gauche,LUG,2021,Régionales,1,11,7240948,2232141,2175649,240875,Régionales12021,11.07,30.83,0.78,Rose,#FF5E9A
Mme Clémentine AUTAIN,Liste d'union à gauche,LUG,2021,Régionales,1,11,7240948,2232141,2175649,222592,Régionales12021,10.23,30.83,0.78,Rose clair,#FFAECD
Mme Clémentine AUTAIN,Liste d'union à gauche,LUG,2021,Régionales,1,11,7240948,2232141,2175649,222592,Régionales12021,10.23,30.83,0.78,Rose,#FF5E9A
M. François BONNEAU,Liste d'union à gauche,LUG,2021,Régionales,1,24,1816435,594777,568784,141136,Régionales12021,24.81,32.74,1.43,Rose clair,#FFAECD
M. François BONNEAU,Liste d'union à gauche,LUG,2021,Régionales,1,24,1816435,594777,568784,141136,Régionales12021,24.81,32.74,1.43,Rose,#FF5E9A
M. Bastien FAUDOT,Liste d'union à gauche,LUG,2021,Régionales,1,27,1967032,686005,653942,29424,Régionales12021,4.5,34.88,1.63,Rose clair,#FFAECD
M. Bastien FAUDOT,Liste d'union à gauche,LUG,2021,Régionales,1,27,1967032,686005,653942,29424,Régionales12021,4.5,34.88,1.63,Rose,#FF5E9A
M. Sébastien JUMEL,Liste d'union à gauche,LUG,2021,Régionales,1,28,2384818,786762,754925,72777,Régionales12021,9.64,32.99,1.33,Rose clair,#FFAECD
M. Sébastien JUMEL,Liste d'union à gauche,LUG,2021,Régionales,1,28,2384818,786762,754925,72777,Régionales12021,9.64,32.99,1.33,Rose,#FF5E9A
Mme Aurélie FILIPPETTI,Liste d'union à gauche,LUG,2021,Régionales,1,44,3829952,1134179,1078379,93168,Régionales12021,8.64,29.61,1.46,Rose clair,#FFAECD
Mme Aurélie FILIPPETTI,Liste d'union à gauche,LUG,2021,Régionales,1,44,3829952,1134179,1078379,93168,Régionales12021,8.64,29.61,1.46,Rose,#FF5E9A
M. Guillaume GAROT,Liste d'union à gauche,LUG,2021,Régionales,1,52,2775345,852833,813317,132693,Régionales12021,16.32,30.73,1.42,Rose clair,#FFAECD
M. Guillaume GAROT,Liste d'union à gauche,LUG,2021,Régionales,1,52,2775345,852833,813317,132693,Régionales12021,16.32,30.73,1.42,Rose,#FF5E9A
M. Loïg CHESNAIS-GIRARD,Liste d'union à gauche,LUG,2021,Régionales,1,53,2493602,892415,851237,178362,Régionales12021,20.95,35.79,1.65,Rose clair,#FFAECD
M. Loïg CHESNAIS-GIRARD,Liste d'union à gauche,LUG,2021,Régionales,1,53,2493602,892415,851237,178362,Régionales12021,20.95,35.79,1.65,Rose,#FF5E9A
M. Alain ROUSSET,Liste d'union à gauche,LUG,2021,Régionales,1,75,4352306,1565182,1493620,430659,Régionales12021,28.83,35.96,1.64,Rose clair,#FFAECD
M. Alain ROUSSET,Liste d'union à gauche,LUG,2021,Régionales,1,75,4352306,1565182,1493620,430659,Régionales12021,28.83,35.96,1.64,Rose,#FF5E9A
Mme Najat VALLAUD-BELKACEM,Liste d'union à gauche,LUG,2021,Régionales,1,84,5403344,1761218,1713647,195727,Régionales12021,11.42,32.59,0.88,Rose clair,#FFAECD
Mme Najat VALLAUD-BELKACEM,Liste d'union à gauche,LUG,2021,Régionales,1,84,5403344,1761218,1713647,195727,Régionales12021,11.42,32.59,0.88,Rose,#FF5E9A
Mme Cécile CUKIERMAN,Liste d'union à gauche,LUG,2021,Régionales,1,84,5403344,1761218,1713647,95434,Régionales12021,5.57,32.59,0.88,Rose clair,#FFAECD
Mme Cécile CUKIERMAN,Liste d'union à gauche,LUG,2021,Régionales,1,84,5403344,1761218,1713647,95434,Régionales12021,5.57,32.59,0.88,Rose,#FF5E9A
M. Philippe CADET,Liste écologiste,LECO,2021,Régionales,1,04,668617,243787,230919,6107,Régionales12021,2.64,36.46,1.92,Vert,#44EE8B
M. Jean-Pierre MARCHAU,Liste écologiste,LECO,2021,Régionales,1,04,668617,243787,230919,4632,Régionales12021,2.01,36.46,1.92,Vert,#44EE8B
M. Julien BAYOU,Liste écologiste,LECO,2021,Régionales,1,11,7240948,2232141,2175649,282239,Régionales12021,12.97,30.83,0.78,Vert,#44EE8B
M. Victor PAILHAC,Liste écologiste,LECO,2021,Régionales,1,11,7240948,2232141,2175649,39255,Régionales12021,1.8,30.83,0.78,Vert,#44EE8B
Mme Stéphanie MODDE,Liste écologiste,LECO,2021,Régionales,1,27,1967032,686005,653942,67618,Régionales12021,10.34,34.88,1.63,Vert,#44EE8B
M. Daniel CUEFF,Liste écologiste,LECO,2021,Régionales,1,53,2493602,892415,851237,55514,Régionales12021,6.52,35.79,1.65,Vert,#44EE8B
M. Nicolas THIERRY,Liste écologiste,LECO,2021,Régionales,1,75,4352306,1565182,1493620,180551,Régionales12021,12.09,35.96,1.64,Vert,#44EE8B
M. Antoine MAURICE,Liste écologiste,LECO,2021,Régionales,1,76,4220483,1571519,1509081,133383,Régionales12021,8.84,37.24,1.48,Vert,#44EE8B
Mme Fabienne GREBERT,Liste écologiste,LECO,2021,Régionales,1,84,5403344,1761218,1713647,248017,Régionales12021,14.47,32.59,0.88,Vert,#44EE8B
M. Jean-Marc GOVERNATORI,Liste écologiste,LECO,2021,Régionales,1,93,3580639,1207321,1156069,60991,Régionales12021,5.28,33.72,1.43,Vert,#44EE8B
Mme Agnès SIMONPIETRI,Liste écologiste,LECO,2021,Régionales,1,94,239808,136887,134457,5039,Régionales12021,3.75,57.08,1.01,Vert,#44EE8B
M. Joseph RIVIERE,Liste du Rassemblement national,LRN,2021,Régionales,1,04,668617,243787,230919,4012,Régionales12021,1.74,36.46,1.92,Bleu marine,#0C295A
M. Jordan BARDELLA,Liste du Rassemblement national,LRN,2021,Régionales,1,11,7240948,2232141,2175649,285773,Régionales12021,13.14,30.83,0.78,Bleu marine,#0C295A
M. Aleksandar NIKOLIC,Liste du Rassemblement national,LRN,2021,Régionales,1,24,1816435,594777,568784,126489,Régionales12021,22.24,32.74,1.43,Bleu marine,#0C295A
M. Julien ODOUL,Liste du Rassemblement national,LRN,2021,Régionales,1,27,1967032,686005,653942,151625,Régionales12021,23.19,34.88,1.63,Bleu marine,#0C295A
M. Nicolas BAY,Liste du Rassemblement national,LRN,2021,Régionales,1,28,2384818,786762,754925,149946,Régionales12021,19.86,32.99,1.33,Bleu marine,#0C295A
M. Sébastien CHENU,Liste du Rassemblement national,LRN,2021,Régionales,1,32,4226927,1388093,1330428,324260,Régionales12021,24.37,32.84,1.36,Bleu marine,#0C295A
M. Laurent JACOBELLI,Liste du Rassemblement national,LRN,2021,Régionales,1,44,3829952,1134179,1078379,227775,Régionales12021,21.12,29.61,1.46,Bleu marine,#0C295A
M. Hervé JUVIN,Liste du Rassemblement national,LRN,2021,Régionales,1,52,2775345,852833,813317,101951,Régionales12021,12.54,30.73,1.42,Bleu marine,#0C295A
M. Gilles PENNELLE,Liste du Rassemblement national,LRN,2021,Régionales,1,53,2493602,892415,851237,121452,Régionales12021,14.27,35.79,1.65,Bleu marine,#0C295A
Mme Edwige DIAZ,Liste du Rassemblement national,LRN,2021,Régionales,1,75,4352306,1565182,1493620,271771,Régionales12021,18.2,35.96,1.64,Bleu marine,#0C295A
M. Jean-Paul GARRAUD,Liste du Rassemblement national,LRN,2021,Régionales,1,76,4220483,1571519,1509081,341254,Régionales12021,22.61,37.24,1.48,Bleu marine,#0C295A
M. Andréa KOTARAC,Liste du Rassemblement national,LRN,2021,Régionales,1,84,5403344,1761218,1713647,211178,Régionales12021,12.32,32.59,0.88,Bleu marine,#0C295A
M. Thierry MARIANI,Liste du Rassemblement national,LRN,2021,Régionales,1,93,3580639,1207321,1156069,420633,Régionales12021,36.38,33.72,1.43,Bleu marine,#0C295A
M. François FILONI,Liste du Rassemblement national,LRN,2021,Régionales,1,94,239808,136887,134457,5378,Régionales12021,4.0,57.08,1.01,Bleu marine,#0C295A
Mme Valérie PÉCRESSE,Liste d'union à droite,LUD,2021,Régionales,1,11,7240948,2232141,2175649,787069,Régionales12021,36.18,30.83,0.78,Bleu,#045BFF
M. Xavier BERTRAND,Liste d'union à droite,LUD,2021,Régionales,1,32,4226927,1388093,1330428,551068,Régionales12021,41.42,32.84,1.36,Bleu,#045BFF
M. Aurélien PRADIÉ,Liste d'union à droite,LUD,2021,Régionales,1,76,4220483,1571519,1509081,183980,Régionales12021,12.19,37.24,1.48,Bleu,#045BFF
M. Laurent WAUQUIEZ,Liste d'union à droite,LUD,2021,Régionales,1,84,5403344,1761218,1713647,751375,Régionales12021,43.85,32.59,0.88,Bleu,#045BFF
M. Laurent SAINT-MARTIN,Liste d'union au centre,LUC,2021,Régionales,1,11,7240948,2232141,2175649,256597,Régionales12021,11.79,30.83,0.78,Jaune,#FFCE3E
M. Laurent SAINT-MARTIN,Liste d'union au centre,LUC,2021,Régionales,1,11,7240948,2232141,2175649,256597,Régionales12021,11.79,30.83,0.78,Bleu ciel,#39C3FF
M. Marc FESNEAU,Liste d'union au centre,LUC,2021,Régionales,1,24,1816435,594777,568784,94712,Régionales12021,16.65,32.74,1.43,Jaune,#FFCE3E
M. Marc FESNEAU,Liste d'union au centre,LUC,2021,Régionales,1,24,1816435,594777,568784,94712,Régionales12021,16.65,32.74,1.43,Bleu ciel,#39C3FF
M. Laurent BONNATERRE,Liste d'union au centre,LUC,2021,Régionales,1,28,2384818,786762,754925,83588,Régionales12021,11.07,32.99,1.33,Jaune,#FFCE3E
M. Laurent BONNATERRE,Liste d'union au centre,LUC,2021,Régionales,1,28,2384818,786762,754925,83588,Régionales12021,11.07,32.99,1.33,Bleu ciel,#39C3FF
M. Laurent PIETRASZEWSKI,Liste d'union au centre,LUC,2021,Régionales,1,32,4226927,1388093,1330428,121466,Régionales12021,9.13,32.84,1.36,Jaune,#FFCE3E
M. Laurent PIETRASZEWSKI,Liste d'union au centre,LUC,2021,Régionales,1,32,4226927,1388093,1330428,121466,Régionales12021,9.13,32.84,1.36,Bleu ciel,#39C3FF
M. François DE RUGY,Liste d'union au centre,LUC,2021,Régionales,1,52,2775345,852833,813317,97371,Régionales12021,11.97,30.73,1.42,Jaune,#FFCE3E
M. François DE RUGY,Liste d'union au centre,LUC,2021,Régionales,1,52,2775345,852833,813317,97371,Régionales12021,11.97,30.73,1.42,Bleu ciel,#39C3FF
M. Thierry BURLOT,Liste d'union au centre,LUC,2021,Régionales,1,53,2493602,892415,851237,132220,Régionales12021,15.53,35.79,1.65,Jaune,#FFCE3E
M. Thierry BURLOT,Liste d'union au centre,LUC,2021,Régionales,1,53,2493602,892415,851237,132220,Régionales12021,15.53,35.79,1.65,Bleu ciel,#39C3FF
Mme Geneviève DARRIEUSSECQ,Liste d'union au centre,LUC,2021,Régionales,1,75,4352306,1565182,1493620,204767,Régionales12021,13.71,35.96,1.64,Jaune,#FFCE3E
Mme Geneviève DARRIEUSSECQ,Liste d'union au centre,LUC,2021,Régionales,1,75,4352306,1565182,1493620,204767,Régionales12021,13.71,35.96,1.64,Bleu ciel,#39C3FF
M. Vincent TERRAIL-NOVÈS,Liste d'union au centre,LUC,2021,Régionales,1,76,4220483,1571519,1509081,132487,Régionales12021,8.78,37.24,1.48,Jaune,#FFCE3E
M. Vincent TERRAIL-NOVÈS,Liste d'union au centre,LUC,2021,Régionales,1,76,4220483,1571519,1509081,132487,Régionales12021,8.78,37.24,1.48,Bleu ciel,#39C3FF
M. Bruno BONNELL,Liste d'union au centre,LUC,2021,Régionales,1,84,5403344,1761218,1713647,168292,Régionales12021,9.82,32.59,0.88,Jaune,#FFCE3E
M. Bruno BONNELL,Liste d'union au centre,LUC,2021,Régionales,1,84,5403344,1761218,1713647,168292,Régionales12021,9.82,32.59,0.88,Bleu ciel,#39C3FF
M. Denis THURIOT,Liste de La République en marche,LREM,2021,Régionales,1,27,1967032,686005,653942,76457,Régionales12021,11.69,34.88,1.63,Jaune,#FFCE3E
M. José EVRARD,Liste de droite souverainiste,LDSV,2021,Régionales,1,32,4226927,1388093,1330428,27205,Régionales12021,2.04,32.84,1.36,Bleu marine,#0C295A
M. Florian PHILIPPOT,Liste de droite souverainiste,LDSV,2021,Régionales,1,44,3829952,1134179,1078379,74980,Régionales12021,6.95,29.61,1.46,Bleu marine,#0C295A
Mme Cécile BAYLE DE JESSÉ,Liste de droite souverainiste,LDSV,2021,Régionales,1,52,2775345,852833,813317,24078,Régionales12021,2.96,30.73,1.42,Bleu marine,#0C295A
M. David CABAS,Liste de droite souverainiste,LDSV,2021,Régionales,1,53,2493602,892415,851237,11919,Régionales12021,1.4,35.79,1.65,Bleu marine,#0C295A
M. Yves CHAUVEL,Liste de droite souverainiste,LDSV,2021,Régionales,1,53,2493602,892415,851237,1844,Régionales12021,0.22,35.79,1.65,Bleu marine,#0C295A
M. Noël CHUISANO,Liste de droite souverainiste,LDSV,2021,Régionales,1,93,3580639,1207321,1156069,31204,Régionales12021,2.7,33.72,1.43,Bleu marine,#0C295A
Mme Valérie LAUPIES,Liste de droite souverainiste,LDSV,2021,Régionales,1,93,3580639,1207321,1156069,19146,Régionales12021,1.66,33.72,1.43,Bleu marine,#0C295A
M. Pierre-Yves CADALEN,Liste de La France insoumise,LFI,2021,Régionales,1,53,2493602,892415,851237,47444,Régionales12021,5.57,35.79,1.65,Rouge,#EE4A40
Mme Myriam MARTIN,Liste de La France insoumise,LFI,2021,Régionales,1,76,4220483,1571519,1509081,76381,Régionales12021,5.06,37.24,1.48,Rouge,#EE4A40
M. Michel STEFANI,Liste du Parti communiste français,LCOM,2021,Régionales,1,94,239808,136887,134457,4279,Régionales12021,3.18,57.08,1.01,Rouge,#EE4A40
